n1,n2,n3,n4,n5,n6,n7,n8,Anio,Desembolso,Numero,,,,,,,,,,
11,13,14,72,39,14,12,134,2021,20372,11,,,,,,,,,,
11,15,12,44,10,14,13,453,2018,3471364,1,,,,,,,,,,
11,15,12,44,10,14,13,453,2019,5355444,1,,,,,,,,,,
11,15,12,44,10,14,13,453,2020,1924007,1,,,,,,,,,,
11,15,12,44,10,14,12,560,2022,130179,1,,,,,,,,,,
11,15,12,44,10,20,12,601,2020,13520,2,,,,,,,,,,
11,15,14,38,10,21,12,43,2020,16054,1,,,,,,,,,,
11,15,14,38,10,21,12,43,2021,37597,1,,,,,,,,,,
11,15,14,38,10,21,12,43,2022,0,1,,,,,,,,,,
11,15,14,62,10,21,12,43,2020,16054,1,,,,,,,,,,
11,15,14,62,10,21,12,43,2021,37597,1,,,,,,,,,,
11,15,14,62,10,21,12,43,2022,0,1,,,,,,,,,,
11,15,14,72,10,21,12,43,2020,16054,1,,,,,,,,,,
11,15,14,72,10,21,12,43,2021,37597,1,,,,,,,,,,
11,15,14,72,10,21,12,43,2022,0,1,,,,,,,,,,
11,15,12,80,14,11,11,76,2020,100000,1,,,,,,,,,,
11,15,12,80,14,11,11,76,2021,100000,1,,,,,,,,,,
11,15,11,19,14,11,13,393,2018,20746,1,,,,,,,,,,
11,15,11,19,14,11,13,393,2019,74533,1,,,,,,,,,,
11,15,12,80,14,11,13,526,2018,622277,1,,,,,,,,,,
11,15,12,80,14,11,13,526,2019,244823,1,,,,,,,,,,
11,15,12,80,14,11,13,526,2020,216042,1,,,,,,,,,,
11,15,11,19,15,11,11,77,2019,35581,1,,,,,,,,,,
11,15,11,19,15,11,11,77,2020,14419,1,,,,,,,,,,
11,15,13,88,15,11,11,77,2019,35581,1,,,,,,,,,,
11,15,13,88,15,11,11,77,2020,14419,1,,,,,,,,,,
11,15,11,19,15,11,13,526,2019,35581,1,,,,,,,,,,
11,15,11,19,15,11,13,526,2020,14419,1,,,,,,,,,,
11,15,13,88,15,11,13,526,2019,35581,1,,,,,,,,,,
11,15,13,88,15,11,13,526,2020,14419,1,,,,,,,,,,
11,15,12,80,22,11,13,75,2019,0,1,,,,,,,,,,
11,15,14,16,22,19,13,335,2018,50000,1,,,,,,,,,,
11,15,14,30,22,19,13,337,2020,0,1,,,,,,,,,,
11,15,14,30,22,19,13,337,2021,0,1,,,,,,,,,,
11,15,14,30,22,19,13,337,2022,0,1,,,,,,,,,,
11,15,12,80,22,19,13,453,2020,0,1,,,,,,,,,,
11,15,12,80,22,19,13,453,2021,0,1,,,,,,,,,,
11,15,12,80,26,14,11,101,2019,506634,6,,,,,,,,,,
11,15,12,80,26,14,11,101,2020,743778,6,,,,,,,,,,
11,15,12,80,26,14,11,101,2021,515160,6,,,,,,,,,,
11,15,14,30,26,14,12,224,2020,989885,1,,,,,,,,,,
11,15,14,72,26,20,12,571,2018,59435,1,,,,,,,,,,
11,15,14,62,27,14,12,536,2021,14505,3,,,,,,,,,,
11,15,12,80,27,21,12,82,2018,0,4,,,,,,,,,,
11,15,12,80,27,21,12,82,2019,0,4,,,,,,,,,,
11,15,14,72,27,21,12,82,2018,0,4,,,,,,,,,,
11,15,14,72,27,21,12,82,2019,0,4,,,,,,,,,,
11,15,12,80,27,21,12,489,2022,0,11,,,,,,,,,,
11,15,14,47,27,21,12,489,2022,0,11,,,,,,,,,,
11,15,12,44,28,14,12,218,2020,300000,1,,,,,,,,,,
11,15,12,44,28,14,12,218,2021,400000,1,,,,,,,,,,
11,15,10,58,28,21,12,29,2018,0,1,,,,,,,,,,
11,15,10,58,28,21,12,29,2019,17629,1,,,,,,,,,,
11,15,10,58,28,21,12,29,2020,100226,1,,,,,,,,,,
11,15,12,64,29,19,13,453,2021,0,1,,,,,,,,,,
11,15,12,64,29,19,13,453,2022,0,1,,,,,,,,,,
11,15,12,64,29,19,11,495,2021,0,1,,,,,,,,,,
11,15,12,64,29,19,11,495,2022,0,1,,,,,,,,,,
11,15,12,80,29,19,11,495,2021,0,1,,,,,,,,,,
11,15,12,80,34,21,12,204,2018,2650,4,,,,,,,,,,
11,15,12,80,34,21,12,204,2019,18783,4,,,,,,,,,,
11,15,12,80,34,21,12,204,2020,0,3,,,,,,,,,,
11,15,12,80,34,21,12,204,2021,6012,3,,,,,,,,,,
11,15,12,80,34,21,12,204,2022,9000,3,,,,,,,,,,
11,15,14,57,34,21,12,204,2018,681,3,,,,,,,,,,
11,15,14,57,34,21,12,204,2019,18783,3,,,,,,,,,,
11,15,14,57,34,21,12,204,2020,0,3,,,,,,,,,,
11,15,14,57,34,21,12,204,2021,6012,3,,,,,,,,,,
11,15,14,57,34,21,12,204,2022,9000,3,,,,,,,,,,
11,15,14,62,34,21,12,204,2018,2650,4,,,,,,,,,,
11,15,14,62,34,21,12,204,2019,18783,4,,,,,,,,,,
11,15,14,62,34,21,12,204,2020,0,3,,,,,,,,,,
11,15,14,62,34,21,12,204,2021,6012,3,,,,,,,,,,
11,15,14,62,34,21,12,204,2022,9000,3,,,,,,,,,,
11,15,12,80,39,21,12,455,2018,117355,1,,,,,,,,,,
11,15,12,80,39,21,12,455,2019,104123,1,,,,,,,,,,
11,15,12,80,39,21,12,455,2020,83587,1,,,,,,,,,,
11,15,12,80,41,19,13,71,2018,0,1,,,,,,,,,,
11,15,12,80,41,19,13,71,2019,0,1,,,,,,,,,,
11,15,12,80,41,19,13,396,2018,0,1,,,,,,,,,,
11,15,12,80,41,19,13,396,2019,0,1,,,,,,,,,,
11,15,12,80,43,19,12,301,2019,5320,4,,,,,,,,,,
11,15,12,80,43,19,12,301,2020,165228,4,,,,,,,,,,
11,15,15,14,43,19,12,301,2019,5320,4,,,,,,,,,,
11,15,15,14,43,19,12,301,2020,165228,4,,,,,,,,,,
11,15,15,50,43,19,12,301,2019,5320,4,,,,,,,,,,
11,15,15,50,43,19,12,301,2020,165228,4,,,,,,,,,,
11,15,12,64,43,19,13,453,2018,77872,2,,,,,,,,,,
11,15,12,64,43,19,13,453,2019,952093,2,,,,,,,,,,
11,15,12,64,43,19,13,453,2020,718611,2,,,,,,,,,,
11,15,12,64,43,19,13,453,2021,714860,2,,,,,,,,,,
11,15,12,64,43,19,13,453,2022,1001299,2,,,,,,,,,,
11,15,12,64,43,19,11,495,2018,77872,2,,,,,,,,,,
11,15,12,64,43,19,11,495,2019,952093,2,,,,,,,,,,
11,15,12,64,43,19,11,495,2020,718611,2,,,,,,,,,,
11,15,12,64,43,19,11,495,2021,714860,2,,,,,,,,,,
11,15,12,64,43,19,11,495,2022,1001299,2,,,,,,,,,,
11,15,14,34,43,19,12,558,2018,20000,1,,,,,,,,,,
11,15,14,35,43,19,12,558,2018,20000,1,,,,,,,,,,
11,15,14,57,43,19,12,558,2018,20000,1,,,,,,,,,,
11,15,14,81,44,21,12,267,2018,0,12,,,,,,,,,,
11,15,14,81,44,21,12,267,2019,57360,12,,,,,,,,,,
11,15,14,81,44,21,12,267,2020,37392,12,,,,,,,,,,
11,15,14,81,44,21,12,267,2021,48744,12,,,,,,,,,,
11,15,15,68,44,21,12,267,2018,0,12,,,,,,,,,,
11,15,15,68,44,21,12,267,2019,57360,12,,,,,,,,,,
11,15,15,68,44,21,12,267,2020,37392,12,,,,,,,,,,
11,15,15,68,44,21,12,267,2021,48744,12,,,,,,,,,,
11,15,12,44,45,21,12,120,2018,6000,1,,,,,,,,,,
11,15,14,62,45,21,12,120,2018,6000,1,,,,,,,,,,
11,15,12,44,45,21,12,462,2019,3050,1,,,,,,,,,,
11,15,14,62,45,21,12,462,2019,3050,1,,,,,,,,,,
11,15,12,44,45,21,12,509,2018,3595,1,,,,,,,,,,
11,15,12,44,45,21,12,509,2019,64,1,,,,,,,,,,
11,15,14,62,45,21,12,509,2018,3595,1,,,,,,,,,,
11,15,14,62,45,21,12,509,2019,64,1,,,,,,,,,,
11,15,12,80,49,21,12,489,2018,123651,11,,,,,,,,,,
11,15,12,80,49,21,12,489,2019,625856,11,,,,,,,,,,
11,15,12,80,49,21,12,489,2020,317614,11,,,,,,,,,,
11,15,12,80,49,21,12,489,2021,1239469,11,,,,,,,,,,
11,15,12,80,49,21,12,489,2022,0,11,,,,,,,,,,
11,15,14,47,49,21,12,489,2018,123651,11,,,,,,,,,,
11,15,14,47,49,21,12,489,2019,625856,11,,,,,,,,,,
11,15,14,47,49,21,12,489,2020,317614,11,,,,,,,,,,
11,15,14,47,49,21,12,489,2021,1239469,11,,,,,,,,,,
11,15,14,47,49,21,12,489,2022,0,11,,,,,,,,,,
11,15,14,81,53,21,12,200,2021,519928,4,,,,,,,,,,
11,15,14,81,53,21,12,200,2022,0,4,,,,,,,,,,
11,15,14,81,53,21,12,205,2021,519928,4,,,,,,,,,,
11,15,14,81,53,21,12,205,2022,0,4,,,,,,,,,,
11,15,14,81,53,21,12,463,2021,519928,4,,,,,,,,,,
11,15,14,81,53,21,12,463,2022,0,4,,,,,,,,,,
11,15,14,81,53,21,12,471,2021,519928,4,,,,,,,,,,
11,15,14,81,53,21,12,471,2022,0,4,,,,,,,,,,
11,15,14,81,53,21,12,503,2021,519928,4,,,,,,,,,,
11,15,14,81,53,21,12,503,2022,0,4,,,,,,,,,,
11,15,14,72,53,21,12,571,2018,35123,1,,,,,,,,,,
11,15,10,58,55,19,12,29,2018,31333,1,,,,,,,,,,
11,15,10,58,55,19,12,29,2019,138714,1,,,,,,,,,,
11,15,10,58,55,19,12,29,2020,88478,1,,,,,,,,,,
11,15,12,80,55,19,12,81,2020,51912,2,,,,,,,,,,
11,15,12,80,55,19,12,81,2021,0,2,,,,,,,,,,
11,15,12,80,55,19,12,82,2018,30000,4,,,,,,,,,,
11,15,12,80,55,19,12,82,2019,72188,4,,,,,,,,,,
11,15,14,72,55,19,12,82,2018,30000,4,,,,,,,,,,
11,15,14,72,55,19,12,82,2019,72188,4,,,,,,,,,,
11,15,12,80,56,24,13,71,2018,0,1,,,,,,,,,,
11,15,12,80,56,24,13,71,2019,0,1,,,,,,,,,,
11,15,12,80,56,24,13,396,2018,0,1,,,,,,,,,,
11,15,12,80,56,24,13,396,2019,0,1,,,,,,,,,,
20,92,14,37,10,21,13,441,2018,39000,1,,,,,,,,,,
20,92,14,62,10,21,12,508,2021,10000,1,,,,,,,,,,
20,92,14,62,10,21,12,514,2021,10000,1,,,,,,,,,,
20,92,14,35,14,11,12,99,2018,251189,1,,,,,,,,,,
20,92,14,35,14,11,12,167,2018,110256,1,,,,,,,,,,
20,92,14,72,18,21,12,329,2018,394419,1,,,,,,,,,,
20,92,14,72,18,21,12,329,2019,441795,1,,,,,,,,,,
20,92,14,72,18,21,12,329,2020,0,1,,,,,,,,,,
20,92,14,72,18,21,12,329,2021,506394,1,,,,,,,,,,
20,92,12,44,26,14,13,433,2018,14250,1,,,,,,,,,,
20,92,14,62,27,19,12,67,2020,108954,3,,,,,,,,,,
20,92,14,62,27,19,12,67,2021,0,3,,,,,,,,,,
20,92,14,62,27,19,12,68,2020,108954,3,,,,,,,,,,
20,92,14,62,27,19,12,68,2021,0,3,,,,,,,,,,
20,92,11,71,27,19,12,134,2020,219285,9,,,,,,,,,,
20,92,11,71,27,19,12,134,2021,1334826,21,,,,,,,,,,
20,92,14,34,27,19,12,134,2019,89776,8,,,,,,,,,,
20,92,14,34,27,19,12,134,2020,497496,8,,,,,,,,,,
20,92,14,70,27,19,12,134,2021,209052,12,,,,,,,,,,
20,92,14,72,27,19,12,134,2019,89776,8,,,,,,,,,,
20,92,14,72,27,19,12,134,2020,716781,17,,,,,,,,,,
20,92,14,72,27,19,12,134,2021,1334826,21,,,,,,,,,,
20,92,12,44,27,20,12,135,2018,29344,4,,,,,,,,,,
20,92,12,44,27,20,12,135,2019,38200,4,,,,,,,,,,
20,92,12,44,27,20,12,135,2020,86960,4,,,,,,,,,,
20,92,12,44,27,20,12,135,2021,20216,4,,,,,,,,,,
20,92,14,35,27,20,12,275,2018,69870,2,,,,,,,,,,
20,92,14,62,27,21,12,162,2018,320190,10,,,,,,,,,,
20,92,14,62,27,21,12,199,2018,320190,10,,,,,,,,,,
20,92,14,62,27,21,12,203,2018,320190,10,,,,,,,,,,
20,92,14,62,27,21,12,206,2018,320190,10,,,,,,,,,,
20,92,14,62,27,21,12,208,2018,320190,10,,,,,,,,,,
20,92,15,14,27,21,12,311,2018,83333,1,,,,,,,,,,
20,92,15,50,27,21,12,311,2018,83333,1,,,,,,,,,,
20,92,14,35,27,21,12,329,2020,3829,1,,,,,,,,,,
20,92,14,35,27,21,12,329,2021,55253,1,,,,,,,,,,
20,92,14,38,27,21,12,329,2020,3829,1,,,,,,,,,,
20,92,14,38,27,21,12,329,2021,55253,1,,,,,,,,,,
20,92,14,72,27,21,12,329,2018,1421598,4,,,,,,,,,,
20,92,14,72,27,21,12,329,2019,1398943,5,,,,,,,,,,
20,92,14,72,27,21,12,329,2020,1861487,5,,,,,,,,,,
20,92,14,72,27,21,12,329,2021,2756023,7,,,,,,,,,,
20,92,15,50,27,21,12,329,2020,32165,1,,,,,,,,,,
20,92,15,14,27,21,12,367,2018,83333,1,,,,,,,,,,
20,92,15,50,27,21,12,367,2018,83333,1,,,,,,,,,,
20,92,15,14,27,21,13,434,2018,83333,1,,,,,,,,,,
20,92,15,50,27,21,13,434,2018,83333,1,,,,,,,,,,
20,92,14,35,27,21,12,478,2019,0,6,,,,,,,,,,
20,92,14,35,27,21,12,478,2020,0,6,,,,,,,,,,
20,92,14,62,27,21,12,478,2019,0,6,,,,,,,,,,
