n1	n2	n3	n4	n5	year	codificado	devengado	count
12	21	10	16	96	2017	120910.69	65252.22	1
12	18	10	16	96	2018	76260	74340	4
12	21	10	16	96	2018	13582779.4	54650.05	1
12	21	10	16	96	2019	1073571.43	0	1
12	20	10	14	97	2019	1200345786	430643984	25
12	21	10	14	97	2019	414760864.3	174410346.3	6
12	18	10	14	97	2020	12600000	12600000	2
12	20	10	14	97	2020	1173059095	391964236.2	21
12	21	10	14	97	2020	416378157.8	137171588.3	6
12	19	10	16	97	2017	57467081.3	7138615.73	2
12	20	10	16	97	2017	6403339346	3678057973	94
12	21	10	16	97	2017	2291132650	1273290752	18
12	19	10	16	97	2018	20560791.28	1843017.43	4
12	20	10	16	97	2018	5513342270	2102823999	88
12	21	10	16	97	2018	1866162898	883363251.8	16
12	19	10	16	97	2019	645246.45	585507.55	3
12	20	10	16	97	2019	181317934.6	51055443.17	77
12	21	10	16	97	2019	6508165.92	2903337.06	18
12	20	10	16	97	2020	0	0	16
12	21	10	16	97	2020	0	0	3
12	20	10	19	97	2020	20490029.83	238325.8	1
12	18	10	14	97	2021	28800000	0	2
12	20	10	14	97	2021	1245802379	420432049.2	21
12	21	10	14	97	2021	380938292.3	146251802.2	5
12	20	10	16	97	2021	0	0	4
12	21	10	16	97	2021	0	0	3
12	20	10	19	97	2021	36284950.07	221419.02	2
12	20	10	16	98	2017	3208874.22	386695.8	1
12	21	10	16	98	2017	1659972.09	790675.87	1
12	20	10	16	98	2018	13633747.02	335594.76	1
12	18	10	16	102	2017	139950688	36056717.41	2
12	18	10	16	102	2018	62314774.88	32614543.59	2
12	18	10	16	102	2019	520849.34	21618.94	2
12	18	10	16	102	2020	0	0	1
12	20	10	16	103	2017	58946456.37	7839301.31	6
12	20	10	16	103	2018	133932049.9	11262439.39	5
12	20	10	16	103	2019	1541288.18	431636.98	3
12	21	10	14	104	2019	18343691.01	0	1
12	21	10	16	105	2017	42619078.03	12154923.37	4
12	21	10	16	105	2018	16069509.8	3450621.82	3
12	21	10	16	105	2019	948305.28	178071.69	3
12	21	10	16	106	2017	354094396	161266606.3	3
12	21	10	16	106	2018	64024678.51	14345616.17	2
12	21	10	16	106	2019	1070619.22	6480.8	2
